Country of Origin,Species,Latin Name,IUCN Status,ASC Compliant,% Total Fishmeal,% Total Fish Oil,Type
Peru,Anchovy,Engraulis ringens,Least Concern,Yes,71,59.6,render
Antarctica,Krill,Euphausia superba,Least Concern,Yes,4.7,,render
Australia,Blue Mackerel,Scomber australasiucus,Least Concern,Yes,,0.5,render
Australia,Jackmackerel,Trachurus declivis,Least Concern,Yes,,1,render
Australia,Red Bait,Emmelichthys nitidus,Least Concern,Yes,,0.4,render
Chile,Araucanian herring,Strangomera bentincki,Least Concern,Yes,,1.7,render
Chile,Jackmackerel,Trachurus murphyi,Least Concern,Yes,,0.1,render
Chile,Mote Sculpin,Normanichthys crockeri,Not Assessed,No,,0,render
Chile,Peruvian anchoveta,Engraulis ringens,Least Concern,Yes,,0,render
Chile,Starry Butterfish,Stromateus stellatus,Not Assessed,No,,0,render
China,Anchovy,Stolephorus chinensis,Least Concern,Yes,,10.6,render
China,Th,Engraulis japonicus,Least Concern,No,,8.2,render
India,Sardine,Sardinella longiceps,Least Concern,No,,15.1,render
Mexico,Sardine,Sardinella aurita,Least Concern,Yes,,1.3,render
American Samoa,Albacore tuna,Thunnus alalunga,Least Concern,Yes,4.8,,trimmings
American Samoa,Skipjack tuna,Katsuwonus pelamis,Least Concern,Yes,10.7,,trimmings
American Samoa,Yellowfin tuna,Thunnus albacares,Least Concern,Yes,1.9,,trimmings
Mauritius,Albacore,Thunnus alalunga,Least Concern,Yes,0.3,,trimmings
Mauritius,Bigeye Tuna,Thunnus obesus,Vulnerable,Yes,0.2,,trimmings
Mauritius,Skipjack tuna,Katsuwonus pelamis,Least Concern,Yes,1.8,,trimmings
Mauritius,Yellowfin tuna,Thunnus albacares,Least Concern,Yes,0.2,,trimmings
New Zealand,Gemfish,Rexea solandri,Least Concern,No,<0.1,,trimmings
New Zealand,Southern Hake,Merluccius australis,Not Assessed,Yes,<0.1,0,trimmings
New Zealand,Hoki,Macruronus novaezelandiae,Not Assessed,Yes,0.7,1.3,trimmings
New Zealand,Javelinfish,Lepidorhynchus denticulatus,Not Assessed,Yes,<0.1,0.1,trimmings
New Zealand,New Zealand ling,Genypterus blacodes,Not Assessed,Yes,0.1,,trimmings
New Zealand,Rattail,Family Macrouridae,Not Assessed,Yes,<0.1,,trimmings
New Zealand,Other,n/a,Not Assessed,No,,0.1,trimmings
New Zealand,Spiny dogfish,Squalus acanthias,Least Concern,Yes,,0,trimmings
South Africa,Hake,Merluccius australis,Least Concern,Yes,3.6,,trimmings
