"iso3c","country_name","owid_region","continent"
"ARE","United Arab Emirates","Asia","Asia"
"BEN","Benin","Africa","Africa"
"BHR","Bahrain","Asia","Asia"
"QAT","Qatar","Asia","Asia"
"BGR","Bulgaria","Europe","Europe"
"DEU","Germany","Europe","Europe"
"IRN","Iran","Asia","Asia"
"LTU","Lithuania","Europe","Europe"
"POL","Poland","Europe","Europe"
"ROU","Romania","Europe","Europe"
"RUS","Russia","Europe","Europe"
"SVK","Slovakia","Europe","Europe"
"UKR","Ukraine","Europe","Europe"
"USA","United States","North America","Americas"
"AZE","Azerbaijan","Asia","Asia"
"BEL","Belgium","Europe","Europe"
"BLR","Belarus","Europe","Europe"
"CHE","Switzerland","Europe","Europe"
"CZE","Czechia","Europe","Europe"
"DNK","Denmark","Europe","Europe"
"DZA","Algeria","Africa","Africa"
"EST","Estonia","Europe","Europe"
"FIN","Finland","Europe","Europe"
"FRA","France","Europe","Europe"
"GBR","United Kingdom","Europe","Europe"
"GEO","Georgia","Asia","Asia"
"GRC","Greece","Europe","Europe"
"HRV","Croatia","Europe","Europe"
"KAZ","Kazakhstan","Asia","Asia"
"KGZ","Kyrgyzstan","Asia","Asia"
"LVA","Latvia","Europe","Europe"
"MDA","Moldova","Europe","Europe"
"NLD","Netherlands","Europe","Europe"
"SRB","Serbia","Europe","Europe"
"SVN","Slovenia","Europe","Europe"
"SWE","Sweden","Europe","Europe"
"TJK","Tajikistan","Asia","Asia"
"TKM","Turkmenistan","Asia","Asia"
"TUR","Turkey","Asia","Asia"
"UZB","Uzbekistan","Asia","Asia"
"ARG","Argentina","South America","Americas"
"URY","Uruguay","South America","Americas"
"ESP","Spain","Europe","Europe"
"AUS","Australia","Oceania","Oceania"
"BLZ","Belize","North America","Americas"
"BRA","Brazil","South America","Americas"
"BRB","Barbados","North America","Americas"
"CIV","Côte d’Ivoire","Africa","Africa"
"COL","Colombia","South America","Americas"
"COM","Comoros","Africa","Africa"
"CPV","Cape Verde","Africa","Africa"
"CRI","Costa Rica","North America","Americas"
"DMA","Dominica","North America","Americas"
"DOM","Dominican Republic","North America","Americas"
"ECU","Ecuador","South America","Americas"
"FJI","Fiji","Oceania","Oceania"
"GIN","Guinea","Africa","Africa"
"GNQ","Equatorial Guinea","Africa","Africa"
"GRD","Grenada","North America","Americas"
"GTM","Guatemala","North America","Americas"
"IDN","Indonesia","Asia","Asia"
"IND","India","Asia","Asia"
"KEN","Kenya","Africa","Africa"
"KNA","St. Kitts & Nevis","North America","Americas"
"LBR","Liberia","Africa","Africa"
"LCA","St. Lucia","North America","Americas"
"LKA","Sri Lanka","Asia","Asia"
"MAR","Morocco","Africa","Africa"
"MDG","Madagascar","Africa","Africa"
"MDV","Maldives","Asia","Asia"
"MEX","Mexico","North America","Americas"
"MRT","Mauritania","Africa","Africa"
"MUS","Mauritius","Africa","Africa"
"NEI","Other nei","Other nei","Other nei"
"NZL","New Zealand","Oceania","Oceania"
"PAN","Panama","North America","Americas"
"PLW","Palau","Oceania","Oceania"
"PRT","Portugal","Europe","Europe"
"SEN","Senegal","Africa","Africa"
"STP","São Tomé & Príncipe","Africa","Africa"
"SYC","Seychelles","Africa","Africa"
"TTO","Trinidad & Tobago","North America","Americas"
"TWN","Taiwan","Asia","Asia"
"VCT","St. Vincent & Grenadines","North America","Americas"
"VEN","Venezuela","South America","Americas"
"KWT","Kuwait","Asia","Asia"
"SAU","Saudi Arabia","Asia","Asia"
"ERI","Eritrea","Africa","Africa"
"OMN","Oman","Asia","Asia"
"SGP","Singapore","Asia","Asia"
"KOR","South Korea","Asia","Asia"
"ATG","Antigua & Barbuda","North America","Americas"
"PHL","Philippines","Asia","Asia"
"TZA","Tanzania","Africa","Africa"
"MOZ","Mozambique","Africa","Africa"
"CHN","China","Asia","Asia"
"CYP","Cyprus","Europe","Asia"
"ITA","Italy","Europe","Europe"
"CHL","Chile","South America","Americas"
"ISR","Israel","Asia","Asia"
"HUN","Hungary","Europe","Europe"
"ARM","Armenia","Asia","Asia"
"AUT","Austria","Europe","Europe"
"CAN","Canada","North America","Americas"
"MKD","North Macedonia","Europe","Europe"
"PRK","North Korea","Asia","Asia"
"VNM","Vietnam","Asia","Asia"
"AFG","Afghanistan","Asia","Asia"
"AGO","Angola","Africa","Africa"
"ALB","Albania","Europe","Europe"
"BDI","Burundi","Africa","Africa"
"BFA","Burkina Faso","Africa","Africa"
"BGD","Bangladesh","Asia","Asia"
"BHS","Bahamas","North America","Americas"
"BIH","Bosnia & Herzegovina","Europe","Europe"
"BOL","Bolivia","South America","Americas"
"BRN","Brunei","Asia","Asia"
"BTN","Bhutan","Asia","Asia"
"BWA","Botswana","Africa","Africa"
"CAF","Central African Republic","Africa","Africa"
"CMR","Cameroon","Africa","Africa"
"COD","Congo - Kinshasa","Africa","Africa"
"COG","Congo - Brazzaville","Africa","Africa"
"CUB","Cuba","North America","Americas"
"DJI","Djibouti","Africa","Africa"
"EGY","Egypt","Africa","Africa"
"ETH","Ethiopia","Africa","Africa"
"FSM","Micronesia (Federated States of)","Oceania","Oceania"
"GAB","Gabon","Africa","Africa"
"GHA","Ghana","Africa","Africa"
"GMB","Gambia","Africa","Africa"
"GNB","Guinea-Bissau","Africa","Africa"
"GUY","Guyana","South America","Americas"
"HND","Honduras","North America","Americas"
"HTI","Haiti","North America","Americas"
"IRL","Ireland","Europe","Europe"
"IRQ","Iraq","Asia","Asia"
"ISL","Iceland","Europe","Europe"
"JAM","Jamaica","North America","Americas"
"JOR","Jordan","Asia","Asia"
"JPN","Japan","Asia","Asia"
"KHM","Cambodia","Asia","Asia"
"KIR","Kiribati","Oceania","Oceania"
"LAO","Laos","Asia","Asia"
"LBN","Lebanon","Asia","Asia"
"LBY","Libya","Africa","Africa"
"LSO","Lesotho","Africa","Africa"
"MHL","Marshall Islands","Oceania","Oceania"
"MLI","Mali","Africa","Africa"
"MLT","Malta","Europe","Europe"
"MMR","Myanmar (Burma)","Asia","Asia"
"MNE","Montenegro","Europe","Europe"
"MNG","Mongolia","Asia","Asia"
"MSR","Montserrat","North America","Americas"
"MWI","Malawi","Africa","Africa"
"MYS","Malaysia","Asia","Asia"
"NAM","Namibia","Africa","Africa"
"NER","Niger","Africa","Africa"
"NGA","Nigeria","Africa","Africa"
"NIC","Nicaragua","North America","Americas"
"NOR","Norway","Europe","Europe"
"NPL","Nepal","Asia","Asia"
"NRU","Nauru","Oceania","Oceania"
"PAK","Pakistan","Asia","Asia"
"PER","Peru","South America","Americas"
"PNG","Papua New Guinea","Oceania","Oceania"
"PRY","Paraguay","South America","Americas"
"PSE","Palestinian Territories","Asia","Asia"
"RWA","Rwanda","Africa","Africa"
"SCG","Serbia & Montenegro","Europe","Europe"
"SDN","Sudan","Africa","Africa"
"SLB","Solomon Islands","Oceania","Oceania"
"SLE","Sierra Leone","Africa","Africa"
"SLV","El Salvador","North America","Americas"
"SOM","Somalia","Africa","Africa"
"SSD","South Sudan","Africa","Africa"
"SUR","Suriname","South America","Americas"
"SWZ","Eswatini","Africa","Africa"
"SYR","Syria","Asia","Asia"
"TCD","Chad","Africa","Africa"
"TGO","Togo","Africa","Africa"
"THA","Thailand","Asia","Asia"
"TLS","Timor-Leste","Asia","Asia"
"TON","Tonga","Oceania","Oceania"
"TUN","Tunisia","Africa","Africa"
"TUV","Tuvalu","Oceania","Oceania"
"UGA","Uganda","Africa","Africa"
"VUT","Vanuatu","Oceania","Oceania"
"WSM","Samoa","Oceania","Oceania"
"ZAF","South Africa","Africa","Africa"
"ZMB","Zambia","Africa","Africa"
"ZWE","Zimbabwe","Africa","Africa"
"YEM","Yemen","Asia","Asia"
