Scientific name,English name,Vietnamese name,type
Hyriopsis cumingii,Fresh water oyster,Trai nuoc ngot,trashfish
Sanguinolaris diphos,,Phi,trashfish
Ostrea sp,Oyster,Hau,trashfish
Pteria martensii,Penguin wing oyster,So giay,trashfish
Bilaglobosa swatson,Golden snail,Oc vang,trashfish
Pila polita,Apple snail,Oc buou,trashfish
Loligo spp,"Squid (small size, gut)","Muc (nho, ruot)",trashfish
Penaeidea,Penaeid shrimp (small),Tom nho,trashfish
Calappa sp,Crab (small),Cua nho,trashfish
Portunus spp,Swimming crab (small),Ghe nho,trashfish
Holodeima spp,Lolly fish,Hai sam,trashfish
Holothuria vagabunda,Black sea cucumber,Hai sam den,trashfish
Diadema setosum,Black sea urchin,Cau gai den,trashfish
Dasyatis spp,Sting ray (gut),Duoi (ruot),trashfish
Stolephorus spp,Anchovy,Com,trashfish
Clupea leiogaster,Sardine,Trich,trashfish
Thrissa mystax,Moustached thryssa,Lep,trashfish
Clupanodon spp,Gizzard shad,Moi,trashfish
Saurida spp,Lizard fish,Moi,trashfish
Muraenesox cinereus,Silver conger eel,Lat,trashfish
Hemirhamphus far,Half break,Kim bong,trashfish
Cyselurus spp,Flying fish,Chuon,trashfish
Shyraena jello,Giant sea pike,Nhong,trashfish
Otholithes argentius,Croaker,Op,trashfish
Johnius goma,Croaker,Uop,trashfish
Upeneus spp,Goat fish,Phen,trashfish
Siganus spp,Rabitfish,Dia,trashfish
Decapterus spp,Scad,Nuc,trashfish
Scomber spp,Mackerel,Bac ma,trashfish
Rastrelliger brachisoma,Short-body mackerel,Ba thu,trashfish
Selaroides leptolepis,Yellow-stripe trevally,Chi,trashfish
Fomio niger,Black pomfret,Chim den (nho),trashfish
Psenes indicus,Indian pomfret,Chim An Do,trashfish
Priacanthus macracanthus,Red bigeye,Son thoc,trashfish
Leiognathus spp,Pony fish,Liet,trashfish
Nemipterus hexodon,Ornate threadfin bream,Dong,trashfish
Pomadasys spp,Grunter,Sao,trashfish
Platycephalus indicus,Flathead fish,Chai,trashfish
Tilapia spp,Tilapia,Ro phi nho,trashfish
Paralychthys olivaceus,Flatfish,Bon vi,trashfish
Cynoglossus bilineatus,Flounder,Bon cat,trashfish
Oligoplites saurus,Leatherjacket fish,Bo da,trashfish
