factory_id,country,lat,long,company,data_type,material_type,material_type_simple,comm_name,sci_name,func_group,source,website,date
1,Argentina,-37.9784,-57.5903,Agustiner S.A.,A,fishery by-products,by-products,NA,NA,NA,IFFO,https://seafood.media/agustiner/,Feb-24
2,Argentina,-38.0462,-57.5459,Coomarpes Ltda.,A,fishery by-products,by-products,NA,NA,NA,IFFO,https://www.coomarpes.com.ar/en/,Feb-24
3,Argentina,-42.7223,-65.0332,Harinas Patagonicas S.R.L,A,fishery by-products,by-products,shrimp,NA,Shrimps,NA,https://www.aquafeed.com/newsroom/news/argentina-puerto-madryn-plant-focuses-on-shrimp-oil/,Apr-24
4,Argentina,-38.0015,-57.6648,Gihon- Laboratorios QuÃ­micos SRL,A,NA,NA,NA,NA,NA,MarinTrust,https://www.gihonlab.com/en/naturales/productos-con-omega-3/,Mar-24
5,Australia,-33.4335,150.9982,CSF Proteins Pty Ltd,A,misc by-products,by-products,NA,NA,NA,IFFO,https://www.csfproteins.com.au,Feb-24
6,Australia,-37.823,144.8131,CSF Proteins Pty Ltd,A,misc by-products,by-products,NA,NA,NA,IFFO,https://www.csfproteins.com.au,Feb-24
7,Australia,-35.9502,150.098,Proteins Australia Pty Ltd,A,whole,whole,mackerel,Scomber scombrus,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
8,Australia,-42.1581,146.6091,NuBlend Pty Ltd,C,misc by-products,by-products,NA,NA,NA,https://www.trade-seafood.com/directory/seafood/fishmeal-processors.htm,https://www.nublend.com.au/index.php/products,Feb-24
9,Australia,-37.8158,144.9663,Australian Fishmeal Company,A,whole,whole,NA,NA,NA,NA,https://fishmeal.co/,Apr-24
10,Brazil,-29.5099,-52.0675,FASA,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,https://www.fasa.ind.br/produtos/?lang=en,Apr-24
11,Brazil,-25.9456,-53.1712,Levo Alimentos,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,https://levoalimentos.com.br/,Apr-24
12,Brazil,-8.3075,-36.0365,Nutrivil,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,http://nutrivil.com.br/segmento/peixe/,Apr-24
13,Brazil,-23.4541,-51.9991,A&R Nutricao Animal,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,http://www.argroup.com.br/,Apr-24
14,Brazil,-24.5886,-53.2962,A&R Nutricao Animal,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,http://www.argroup.com.br/,Apr-24
15,Brazil,-24.6289,-53.3241,Copacol,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,https://www.copacol.com.br/copacol,Apr-24
16,Brazil,-23.1771,-52.2297,Protein Meal Tec,A,misc by-products,by-products,NA,NA,NA,https://brazilianrenderers.com/members/,https://www.proteinmealtec.com.br/,Apr-24
17,Brazil,-22.7727,-42.7774,Patense,A,misc by-products,by-products,NA,NA,NA,IFFO,https://patense.com.br/en/production-lines/,Feb-24
18,Canada,49.2849,-123.0713,West Coast Reduction Ltd.,A,fishery by-products,by-products,Pacific Herring,Clupea pallasii,Medium pelagics (30 - 89 cm),Government of Canada Industry report (1993),https://www.wcrl.com/finished-products,Apr-24
18,Canada,49.2849,-123.0713,West Coast Reduction Ltd.,A,fishery by-products,by-products,Salmon,Oncorhynchus spp.,Medium pelagics (30 - 89 cm),Government of Canada Industry report (1993),https://www.wcrl.com/finished-products,Apr-24
