"factory_id","country","common_name","sciname","aquaculture","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
5,"Australia",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","AUS"
6,"Australia",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","AUS"
7,"Australia","mackerel","scomber scombrus","no","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","AUS"
8,"Australia",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","AUS"
9,"Australia",NA,NA,"no","yes","no","Shea et al. 2025",NA,NA,"no","yes","AUS"
10,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
11,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
12,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
13,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
14,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
15,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
16,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
17,"Brazil",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","BRA"
18,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
19,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
20,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
21,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
22,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
23,"Canada","albacore tuna","thunnus alalunga","no","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","CAN"
23,"Canada","sardine","clupea harengus","no","no","yes","Shea et al. 2025",NA,"sardine","no","yes","CAN"
23,"Canada","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","CAN"
23,"Canada","pacific herring","clupea pallasii","no","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
23,"Canada","anchovy","engraulis mordax","no","no","yes","Shea et al. 2025",NA,"anchovy","no","yes","CAN"
24,"Canada","bigeye tuna","thunnus obesus","no","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","CAN"
24,"Canada","yellowfin tuna","thunnus albacares","no","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","CAN"
24,"Canada","chub mackerel","scomber japonicus","no","no","yes","Shea et al. 2025",NA,"chub mackerel","no","yes","CAN"
24,"Canada","peruvian moonfish","selene peruviana","no","no","yes","Shea et al. 2025",NA,"peruvian moonfish","no","yes","CAN"
24,"Canada","pacific bumper","chloroscombrus orqueta","no","no","yes","Shea et al. 2025",NA,"pacific bumper","no","yes","CAN"
24,"Canada","pacific anchoveta","cetengraulis mysticetus","no","no","yes","Shea et al. 2025",NA,"pacific anchoveta","no","yes","CAN"
81,"Denmark","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","DNK"
81,"Denmark","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","DNK"
81,"Denmark","hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"hake","no","yes","DNK"
81,"Denmark","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","DNK"
81,"Denmark","norway pout","trisopterus esmarkii","no","yes","no","Shea et al. 2025",NA,"norway pout","no","yes","DNK"
81,"Denmark","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
81,"Denmark","lemon sole","microstomus kitt","no","no","yes","Shea et al. 2025",NA,"lemon sole","no","yes","DNK"
81,"Denmark","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","DNK"
81,"Denmark","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","DNK"
81,"Denmark","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
81,"Denmark","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","DNK"
81,"Denmark","sandeel","ammodytes marinus","no","yes","no","Shea et al. 2025",NA,"sandeel","no","yes","DNK"
81,"Denmark","greater weever","trachinus draco","no","no","yes","Shea et al. 2025",NA,"greater weever","no","yes","DNK"
81,"Denmark","boarfish","capros aper","no","yes","no","Shea et al. 2025",NA,"boarfish","no","yes","DNK"
81,"Denmark","sardine","sardina pilchardus","no","no","yes","Shea et al. 2025",NA,"sardine","no","yes","DNK"
81,"Denmark","sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"sprat","no","yes","DNK"
81,"Denmark","flounder","platichthys flesus","no","no","yes","Shea et al. 2025",NA,"flounder","no","yes","DNK"
82,"Denmark","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","DNK"
82,"Denmark","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","DNK"
82,"Denmark","hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"hake","no","yes","DNK"
82,"Denmark","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","DNK"
82,"Denmark","norway pout","trisopterus esmarkii","no","yes","no","Shea et al. 2025",NA,"norway pout","no","yes","DNK"
82,"Denmark","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
82,"Denmark","lemon sole","microstomus kitt","no","no","yes","Shea et al. 2025",NA,"lemon sole","no","yes","DNK"
82,"Denmark","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","DNK"
82,"Denmark","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","DNK"
82,"Denmark","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
82,"Denmark","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","DNK"
82,"Denmark","sandeel","ammodytes marinus","no","yes","no","Shea et al. 2025",NA,"sandeel","no","yes","DNK"
82,"Denmark","greater weever","trachinus draco","no","no","yes","Shea et al. 2025",NA,"greater weever","no","yes","DNK"
82,"Denmark","boarfish","capros aper","no","yes","no","Shea et al. 2025",NA,"boarfish","no","yes","DNK"
82,"Denmark","sardine","sardina pilchardus","no","no","yes","Shea et al. 2025",NA,"sardine","no","yes","DNK"
82,"Denmark","sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"sprat","no","yes","DNK"
82,"Denmark","flounder","platichthys flesus","no","no","yes","Shea et al. 2025",NA,"flounder","no","yes","DNK"
83,"Denmark","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","DNK"
83,"Denmark","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","DNK"
83,"Denmark","hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"hake","no","yes","DNK"
83,"Denmark","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","DNK"
83,"Denmark","norway pout","trisopterus esmarkii","no","yes","no","Shea et al. 2025",NA,"norway pout","no","yes","DNK"
83,"Denmark","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
83,"Denmark","lemon sole","microstomus kitt","no","no","yes","Shea et al. 2025",NA,"lemon sole","no","yes","DNK"
83,"Denmark","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","DNK"
83,"Denmark","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","DNK"
83,"Denmark","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
83,"Denmark","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","DNK"
83,"Denmark","sandeel","ammodytes marinus","no","yes","no","Shea et al. 2025",NA,"sandeel","no","yes","DNK"
