"source_country_iso3c","source_country_name","importer_iso3c","sciname","common_name","wholefish","trimmings","trim_prop","data_source_feed","feed_report_spp_name"
"POL","Poland","AUS","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","CHL","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","CHN","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","CRI","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","DNK","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","ECU","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","ESP","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","FRA","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","GBR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","GRC","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","NOR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","TUR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"POL","Poland","VNM","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","AUS","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","CHL","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","CHN","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","CRI","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","DNK","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","ECU","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","ESP","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","FRA","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
