"common_name","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","sciname"
"atlantic herring","Belgium","BEL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Denmark","DNK","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Estonia","EST","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Faroe Islands","FRO","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Finland","FIN","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","France","FRA","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Germany","DEU","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Greenland","GRL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Iceland","ISL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Ireland","IRL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Isle of Man","IMN","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Latvia","LVA","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Lithuania","LTU","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Netherlands","NLD","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Norway","NOR","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Poland","POL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Russian Federation","RUS","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Spain","ESP","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","Sweden","SWE","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
"atlantic herring","United Kingdom","GBR","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring",37805.82,10663.18,"clupea harengus"
