"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"AUS"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHL"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHN"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CRI"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"DNK"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ECU"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ESP"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"FRA"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GBR"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GRC"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"NOR"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"TUR"
"Ammodytes tobianus","small sandeel",27,"Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"VNM"
"Ammodytes tobianus","small sandeel",27,"Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"AUS"
"Ammodytes tobianus","small sandeel",27,"Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHL"
