"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR"
"","Miscellaneous species","Peru","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","PER"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR"
