"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","importer_iso3c"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","AUT"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","CAN"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","CHL"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","CHN"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","ECU"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","GBR"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","IND"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","MEX"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","NOR"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","THA"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","USA"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL","VNM"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","AUT"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","CAN"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","CHL"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","CHN"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","ECU"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","GBR"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","IND"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","MEX"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","NOR"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","THA"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","USA"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU","VNM"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","AUT"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","CAN"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","CHL"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","CHN"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","ECU"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","GBR"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","IND"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","MEX"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","NOR"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR","THA"
