"sciname","common_name","type","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish"
"muraenesox cinereus","daggertooth pike conger","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Muraenesox cinereus","yes","yes"
"selaroides leptolepis","yellowstripe scad","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Selaroides leptolepis","yes","yes"
"priacanthus macracanthus","red bigeye","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Priacanthus macracanthus","yes","yes"
"nemipterus hexodon","ornate threadfin bream","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Nemipterus hexodon","yes","yes"
"platycephalus indicus","bartail flathead","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Platycephalus indicus","yes","yes"
"oligoplites saurus","leatherjacket","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Oligoplites saurus","yes","yes"
"ostrea","flat oysters nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Ostrea sp","yes","yes"
"loligo","common squids nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Loligo spp","yes","yes"
"portunus","portunus swimcrabs nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Portunus spp","yes","yes"
"holothuria atra","lollyfish","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Holodeima spp","yes","yes"
"dasyatis","stingrays nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Dasyatis spp","yes","yes"
"stolephorus","stolephorus anchovies nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Stolephorus spp","yes","yes"
"clupanodon thrissa","chinese gizzard shad","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Clupanodon spp","yes","yes"
"saurida","lizardfishes","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Saurida spp","yes","yes"
"cypselurus poecilopterus","yellowing flyingfish","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Cyselurus spp","yes","yes"
"upeneus","goatfishes","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Upeneus spp","yes","yes"
"siganus","spinefeet(=rabbitfishes) nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Siganus spp","yes","yes"
"decapterus","scads nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Decapterus spp","yes","yes"
"scomber","scomber mackerels nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Scomber spp","yes","yes"
"leiognathus","ponyfishes(=slipmouths)","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Leiognathus spp","yes","yes"
"pomadasys","","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Pomadasys spp","yes","yes"
"oreochromis","tilapias nei","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Tilapia spp","yes","yes"
"calappa granulata","shamefaced crab","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Calappa sp","yes","yes"
"calappa hepatica","box crab","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Calappa sp","yes","yes"
"hyriopsis cumingii","fresh water oyster","trashfish","Vietnam","VNM","yes","no",0,"Edwards 2004",NA,"Hyriopsis cumingii","yes","yes"
