"common_name","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c","sciname","trash_fish"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"AUS","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHL","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHN","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CRI","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"DNK","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ECU","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ESP","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"FRA","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GBR","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GRC","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"NOR","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"TUR","ammodytes tobianus","no"
"small sandeel","Poland","POL","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"VNM","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"AUS","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHL","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CHN","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"CRI","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"DNK","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ECU","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"ESP","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"FRA","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GBR","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"GRC","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"NOR","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"TUR","ammodytes tobianus","no"
"small sandeel","Spain","ESP","yes","no",0,"yes","biomar","FishStat capture","Sandeel",0,4660,"VNM","ammodytes tobianus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"AUS","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHL","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHN","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CRI","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"DNK","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ECU","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ESP","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"FRA","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GBR","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GRC","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"NOR","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"TUR","anchoa nasus","no"
"longnose anchovy","Ecuador","ECU","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"VNM","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"AUS","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHL","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHN","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CRI","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"DNK","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ECU","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ESP","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"FRA","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GBR","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GRC","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"NOR","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"TUR","anchoa nasus","no"
"longnose anchovy","Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"VNM","anchoa nasus","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis rochei","no"
