"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"okamejei kenojei","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Okamejei kenojei","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"banded stingray (banded skate)"
"gymnothorax reticularis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gymnothorax reticularis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reticulate moray"
"pisodonophis boro","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pisodonophis boro","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"omnivorous eel"
"pisodonophis cancrivorus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pisodonophis cancrivorus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crab-eating eel"
"muraenesox cinereus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Muraenesox cinereus","yes","yes","muraenesox",NA,"muraenesocidae","anguilliformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","daggertooth pike conger"
"conger myriaster","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Conger myriaster","yes","yes","conger","congrinae","congridae","anguilliformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","whitespotted conger"
"ilisha elongata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ilisha elongata","yes","yes","ilisha",NA,"pristigasteridae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Shads","elongate ilisha"
"coilia nasus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Coilia nasus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nasus grenadier anchovy"
"coilia mystus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Coilia mystus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mystus grenadier anchovy"
"engraulis japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Engraulis japonicus","yes","yes","engraulis","engraulinae","engraulidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Herrings, sardines, anchovies","japanese anchovy"
"setipinna tenuifilis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Setipinna tenuifilis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin scad"
"konosirus punctatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Konosirus punctatus","yes","yes","konosirus","dorosomatinae","clupeidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Shads","dotted gizzard shad"
"nematalosa nasus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Nematalosa nasus","yes","yes","nematalosa","dorosomatinae","clupeidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Shads","bloch's gizzard shad"
"sardinella aurita","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella aurita","yes","yes","sardinella","dorosomatinae","clupeidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Herrings, sardines, anchovies","round sardinella"
"arius thalassinus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Arius thalassinus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sea catfish (marine catfish)"
"synodus hoshinonis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Synodus hoshinonis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shoulder spot lizardfish"
"trachinocephalus myops","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Trachinocephalus myops","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bighead lizardfish"
"saurida tumbil","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Saurida tumbil","yes","yes","saurida","harpadontinae","synodontidae","aulopiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","greater lizardfish"
"saurida elongata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Saurida elongata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"long-bodied barracuda"
"harpadon nehereus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Harpadon nehereus","yes","yes","harpadon","harpadontinae","synodontidae","aulopiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","bombay-duck"
