"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Argentina","artemesia longinaris","no",1,"argentine stiletto shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","ARG"
"Argentina","pleoticus muelleri","no",1,"argentine red shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","ARG"
"Australia","scomber scombrus","no",0,"mackerel","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","AUS"
"Canada","cetengraulis mysticetus","no",1,"pacific anchoveta","no","yes","Shea et al. 2025",NA,"pacific anchoveta","no","yes","CAN"
"Canada","chloroscombrus orqueta","no",1,"pacific bumper","no","yes","Shea et al. 2025",NA,"pacific bumper","no","yes","CAN"
"Canada","clupea harengus","no",1,"sardine","no","yes","Shea et al. 2025",NA,"sardine","no","yes","CAN"
"Canada","clupea pallasii","no",1,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","engraulis mordax","no",1,"anchovy","no","yes","Shea et al. 2025",NA,"anchovy","no","yes","CAN"
"Canada","oncorhynchus gorbuscha","no",1,"pink(=humpback) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus keta","no",1,"chum(=keta=dog) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus kisutch","no",1,"coho(=silver) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus mykiss","no",1,"rainbow trout","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus nerka","no",1,"sockeye(=red) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus tshawytscha","no",1,"chinook(=spring=king) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","scomber japonicus","no",1,"chub mackerel","no","yes","Shea et al. 2025",NA,"chub mackerel","no","yes","CAN"
"Canada","scomber scombrus","no",1,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","CAN"
"Canada","selene peruviana","no",1,"peruvian moonfish","no","yes","Shea et al. 2025",NA,"peruvian moonfish","no","yes","CAN"
"Canada","thunnus alalunga","no",1,"albacore tuna","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","CAN"
"Canada","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","CAN"
"Canada","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","CAN"
"Chile","engraulis ringens","no",0.2,"anchoveta","yes","no","Shea et al. 2025",NA,"anchoveta","no","yes","CHL"
"Chile","engraulis ringens","no",0.2,"anchovy","no","yes","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.2,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.2,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","engraulis ringens","no",0.2,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","euphausia superba","no",0,"antarctic krill","yes","no","Shea et al. 2025",NA,"krill","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
