"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Argentina","artemesia longinaris","no",1,3,"argentine stiletto shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","ARG"
"Argentina","pleoticus muelleri","no",1,3,"argentine red shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","ARG"
"Australia","scomber scombrus","no",0,7,"mackerel","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","AUS"
"Canada","cetengraulis mysticetus","no",1,24,"pacific anchoveta","no","yes","Shea et al. 2025",NA,"pacific anchoveta","no","yes","CAN"
"Canada","chloroscombrus orqueta","no",1,24,"pacific bumper","no","yes","Shea et al. 2025",NA,"pacific bumper","no","yes","CAN"
"Canada","clupea harengus","no",1,23,"sardine","no","yes","Shea et al. 2025",NA,"sardine","no","yes","CAN"
"Canada","clupea pallasii","no",1,18,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","clupea pallasii","no",1,19,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","clupea pallasii","no",1,20,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","clupea pallasii","no",1,21,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","clupea pallasii","no",1,22,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","clupea pallasii","no",1,23,"pacific herring","no","yes","Shea et al. 2025",NA,"pacific herring","no","yes","CAN"
"Canada","engraulis mordax","no",1,23,"anchovy","no","yes","Shea et al. 2025",NA,"anchovy","no","yes","CAN"
"Canada","oncorhynchus keta","no",1,18,"chum(=keta=dog) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus keta","no",1,19,"chum(=keta=dog) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus nerka","no",1,18,"sockeye(=red) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus nerka","no",1,19,"sockeye(=red) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus tshawytscha","no",1,18,"chinook(=spring=king) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","oncorhynchus tshawytscha","no",1,19,"chinook(=spring=king) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","yes","CAN"
"Canada","scomber japonicus","no",1,24,"chub mackerel","no","yes","Shea et al. 2025",NA,"chub mackerel","no","yes","CAN"
"Canada","scomber scombrus","no",1,23,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","CAN"
"Canada","selene peruviana","no",1,24,"peruvian moonfish","no","yes","Shea et al. 2025",NA,"peruvian moonfish","no","yes","CAN"
"Canada","thunnus alalunga","no",1,23,"albacore tuna","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","CAN"
"Canada","thunnus albacares","no",1,24,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","CAN"
"Canada","thunnus obesus","no",1,24,"bigeye tuna","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","CAN"
