"sciname","common_name","country","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","capture"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes"
"ammodytes spp","sandeel","Denmark","no","yes",1,"skretting",NA,"sandeel","DNK","yes"
"ammodytes spp","sandeel","Norway","no","yes",1,"skretting",NA,"sandeel","NOR","yes"
"ammodytes tobianus","sandeel","Denmark","yes","no",0,"skretting",NA,"sandeel","DNK","yes"
"ammodytes tobianus","sandeel","Norway","yes","no",0,"skretting",NA,"sandeel","NOR","yes"
"auxis thazard","frigate tuna","Ecuador","yes","no",0,"skretting",NA,"frigate tuna","ECU","yes"
"brevoortia patronus","menhaden","Mexico","yes","no",0,"skretting",NA,"menhaden","MEX","yes"
"brevoortia patronus","menhaden","USA","yes","no",0,"skretting",NA,"menhaden","USA","yes"
"capros aper","boarfish","Denmark","yes","no",0,"skretting",NA,"boarfish","DNK","yes"
"capros aper","boarfish","Ireland","yes","no",0,"skretting",NA,"boarfish","IRL","yes"
"capros aper","boarfish","Norway","yes","no",0,"skretting",NA,"boarfish","NOR","yes"
"cetengraulis mysticetus","pacific anchoveta","Ecuador","no","yes",1,"skretting",NA,"pacific anchoveta","ECU","yes"
"cetengraulis mysticetus","pacific anchoveta","Mexico","yes","no",0,"skretting",NA,"pacific anchoveta","MEX","yes"
"cetengraulis mysticetus","pacific anchoveta","Peru","no","yes",1,"skretting",NA,"pacific anchoveta","PER","yes"
"cetengraulis mysticetus","pacific anchoveta","USA","yes","no",0,"skretting",NA,"pacific anchoveta","USA","yes"
"clupea harengus","atlantic herring","Canada","no","yes",1,"skretting",NA,"atlantic herring","CAN","yes"
"clupea harengus","atlantic herring","Denmark","yes","yes",0.509547737946028,"skretting",NA,"atlantic herring","DNK","yes"
"clupea harengus","atlantic herring","France","no","yes",1,"skretting",NA,"atlantic herring","FRA","yes"
"clupea harengus","atlantic herring","Iceland","yes","yes",0.675099866188195,"skretting",NA,"atlantic herring","ISL","yes"
"clupea harengus","atlantic herring","Italy","no","yes",1,"skretting",NA,"atlantic herring","ITA","yes"
"clupea harengus","atlantic herring","Norway","yes","yes",0.675099866188195,"skretting",NA,"atlantic herring","NOR","yes"
"clupea harengus","atlantic herring","UK","no","yes",1,"skretting",NA,"atlantic herring","GBR","yes"
"decapterus macrosoma","shortfin scad","Ecuador","yes","yes",0.580756013745705,"skretting",NA,"shortfin scad","ECU","yes"
"engraulis ringens","chilean anchoveta","Chile","yes","no",0,"skretting",NA,"chilean anchoveta","CHL","yes"
"engraulis ringens","peruvian anchoveta","Chile","yes","no",0,"skretting",NA,"peruvian anchoveta","CHL","yes"
"engraulis ringens","peruvian anchoveta","Ecuador","yes","no",0,"skretting",NA,"peruvian anchoveta","ECU","yes"
"engraulis ringens","peruvian anchoveta","Peru","yes","yes",0.027492167027777,"skretting",NA,"peruvian anchoveta","PER","yes"
"eubleekeria splendens","splendid ponyfish","Vietnam","no","yes",1,"skretting",NA,"splendid ponyfish","VNM","yes"
"gadus morhua","cod","Denmark","no","yes",1,"skretting",NA,"cod","DNK","yes"
"gadus morhua","cod","France","no","yes",1,"skretting",NA,"cod","FRA","yes"
"katsuwonus pelamis","skipjack tuna","Ecuador","no","yes",1,"skretting",NA,"skipjack tuna","ECU","yes"
"katsuwonus pelamis","skipjack tuna","Spain","no","yes",1,"skretting",NA,"skipjack tuna","ESP","yes"
"mallotus villosus","capelin","Iceland","yes","yes",0.43346277319358,"skretting",NA,"capelin","ISL","yes"
"mallotus villosus","capelin","Norway","no","yes",1,"skretting",NA,"capelin","NOR","yes"
"merluccius spp","hake","Ecuador","no","yes",1,"skretting",NA,"hake","ECU","yes"
"merluccius spp","hake","France","no","yes",1,"skretting",NA,"hake","FRA","yes"
"micromesistius poutassou","blue whiting","Denmark","yes","no",0,"skretting",NA,"blue whiting","DNK","yes"
"micromesistius poutassou","blue whiting","France","no","yes",1,"skretting",NA,"blue whiting","FRA","yes"
"micromesistius poutassou","blue whiting","Iceland","yes","no",0,"skretting",NA,"blue whiting","ISL","yes"
"micromesistius poutassou","blue whiting","Norway","yes","yes",0.0995571195123458,"skretting",NA,"blue whiting","NOR","yes"
"oncorhynchus kisutch","coho salmon","Chile","no","yes",1,"skretting",NA,"coho salmon","CHL","no"
"oncorhynchus mykiss","rainbow trout","Norway","no","yes",1,"skretting",NA,"rainbow trout","NOR","yes"
"opisthonema libertate","pacific thread herring","Ecuador","no","yes",1,"skretting",NA,"pacific thread herring","ECU","yes"
"opisthonema libertate","pacific thread herring","Mexico","no","yes",1,"skretting",NA,"pacific thread herring","MEX","yes"
"pollachius pollachius","pollock","USA","no","yes",1,"skretting",NA,"pollock","USA","yes"
"pollachius virens","pollock","USA","yes","no",0,"skretting",NA,"pollock","USA","yes"
"prionotus carolinus","common searobin","Ecuador","yes","no",0,"skretting",NA,"common searobin","ECU","yes"
"salmo salar","atlantic salmon","Chile","yes","yes",0.862628896684023,"skretting",NA,"atlantic salmon","CHL","no"
"salmo salar","atlantic salmon","Italy","no","yes",1,"skretting",NA,"atlantic salmon","ITA","no"
"salmo salar","atlantic salmon","Latvia","no","yes",1,"skretting",NA,"atlantic salmon","LVA","no"
"salmo salar","atlantic salmon","Norway","yes","yes",0.862628896684023,"skretting",NA,"atlantic salmon","NOR","no"
