"sciname","common_name","country","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","capture","importer_iso3c"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","AUS"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","CAN"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","CHL"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","CHN"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","ECU"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","EGY"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","ESP"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","FRA"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","HND"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","ITA"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","JPN"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","NGA"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","NOR"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","TUR"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","USA"
"","anchovy",NA,"yes","no",0,"skretting",NA,"anchovy",NA,"yes","VNM"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","AUS"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","CAN"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","CHL"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","CHN"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","ECU"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","EGY"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","ESP"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","FRA"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","HND"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","ITA"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","JPN"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","NGA"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","NOR"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","TUR"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","USA"
"","other",NA,"yes","no",0,"skretting",NA,"other",NA,"yes","VNM"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","AUS"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","CAN"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","CHL"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","CHN"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","ECU"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","EGY"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","ESP"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","FRA"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","HND"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","ITA"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","JPN"
"","shrimp",NA,"yes","no",0,"skretting",NA,"shrimp",NA,"yes","NGA"
