"model","aic","bic","dev_explained","gcv","edf","formula","k_index"
"1",-1532261.22156734,-1530417.58800285,0.757385512578213,-766135.332571333,207.000000000001,"trim_prop_beta ~ family + year",NA
"2",-1532251.08907944,-1530416.31913786,0.757227184868375,-766134.807550997,205.999999999997,"trim_prop_beta ~ family",NA
"3",-1532329.75164987,-1530477.25446248,0.758297930498854,-766168.197753573,207.999999999995,"trim_prop_beta ~ filleted + family + year",NA
"4",-1532320.07520307,-1530476.44163858,0.758145441723037,-766167.119303025,207.000000000001,"trim_prop_beta ~ filleted + family",NA
"5",-1533633.75460747,-1530256.71428021,0.778960145831294,-766791.540391381,380,"trim_prop_beta ~ filleted + source_country_iso3c + family + year",NA
"6",-1533602.35685494,-1530234.18015059,0.778554597382501,-766782.004023877,379.000000000001,"trim_prop_beta ~ filleted + source_country_iso3c + family",NA
"7",-1506118.93001156,-1504558.93238007,0.236416980562352,-753037.570533855,174.999999999996,"trim_prop_beta ~ filleted + source_country_iso3c + year",NA
"8",-1506113.98518511,-1504562.85117653,0.236236267361673,-753040.243407517,174,"trim_prop_beta ~ filleted + source_country_iso3c",NA
"9",-1502059.23471911,-1502023.78022749,0.115444608289435,-751019.793417559,2.99999999997716,"trim_prop_beta ~ filleted + year",NA
"10",-1765912.6240968,-1765885.59156232,0.0767110807515436,-882951.499836431,1.9999999999992,"trim_prop_beta ~ filleted",NA
"11",-1532503.58409915,-1530582.18955067,0.76073199091875,-766245.083495392,215.043367156662,"trim_prop_beta ~ s(price_gf) + family + year",0.875016320756948
"12",-1532499.22948426,-1530586.64651847,0.760650812552645,-766248.824670246,214.056987766356,"trim_prop_beta ~ s(price_gf) + family",0.869023171207042
"13",-1532572.42383615,-1530642.03355564,0.761639956340146,-766277.860760831,216.077266782621,"trim_prop_beta ~ s(price_gf) + year + filleted + family",NA
"14",-1532572.14648076,-1530650.49981044,0.76161116445483,-766282.805248355,215.109338158818,"trim_prop_beta ~ s(price_gf) + filleted + family",0.879059453085478
"15",-1533901.03955882,-1530445.3563067,0.782389535753442,-766914.042635947,388.294101537572,"trim_prop_beta ~ s(price_gf) + filleted + source_country_iso3c +      family + year",0.842092947469522
"16",-1533895.79761774,-1530448.96423936,0.782303118620433,-766917.309665186,387.298933403625,"trim_prop_beta ~ s(price_gf) + filleted + source_country_iso3c +      family",0.850998048277656
"17",-1771889.40715126,-1770132.32560621,0.244324818530303,-885896.41090403,193.88710103831,"trim_prop_beta ~ s(price_gf) + year + filleted + source_country_iso3c",NA
"18",-1508832.34561645,-1507201.84494486,0.307817769747377,-754382.976384091,182.595143769105,"trim_prop_beta ~ s(price_gf) + filleted + source_country_iso3c",0.599031560382032
"19",-1768533.57304424,-1768416.46301337,0.148993139349878,-884235.15549422,11.890987830209,"trim_prop_beta ~ s(price_gf) + year + filleted",NA
"20",-1768535.56761215,-1768427.46899246,0.14899281320176,-884241.355605304,10.8899723417381,"trim_prop_beta ~ s(price_gf) + filleted",NA
"21",-1533830.27905524,-1530383.50645644,0.781516461563209,-766880.731481043,387.27884978841,"trim_prop_beta ~ s(price_gf) + source_country_iso3c + family +      year",0.849498475169892
"22",-1533827.22555528,-1530389.31306579,0.78145594558034,-766884.667037219,386.28030584034,"trim_prop_beta ~ s(price_gf) + source_country_iso3c + family",0.901154058240425
"23",-1508759.23175744,-1507128.75413036,0.305953699168109,-754343.829572656,182.583335597287,"trim_prop_beta ~ s(price_gf) + source_country_iso3c + year",0.579510660378492
"24",-1771861.95812637,-1770122.90386857,0.243553417723673,-885890.527933417,191.877823051234,"trim_prop_beta ~ s(price_gf) + source_country_iso3c",NA
"25",-1768535.18990659,-1768427.08806923,0.148979059073004,-884238.475295143,10.8957609767654,"trim_prop_beta ~ s(price_gf) + year",NA
"26",-1768537.19086773,-1768438.0994069,0.148978960586452,-884244.68059234,9.89662464679389,"trim_prop_beta ~ s(price_gf)",NA
"27",-1533551.97348719,-1530183.79678284,0.777943905780272,-766755.187760982,378.999999999998,"trim_prop_beta ~ source_country_iso3c + family + year",NA
"28",-1533548.34675213,-1530189.03367069,0.777874329278924,-766756.24487117,378,"trim_prop_beta ~ source_country_iso3c + family",NA
"29",-1506112.73025352,-1504561.59624494,0.236223626765847,-753036.902584506,173.999999999997,"trim_prop_beta ~ source_country_iso3c + year",NA
"30",-1769022.92463473,-1767364.92918685,0.170296270503338,-884492.801563108,183.000000000001,"trim_prop_beta ~ source_country_iso3c",NA
"31",-1765744.75614144,-1765510.47417598,0.0733236479706646,-882832.314708812,24.9999999999992,"trim_prop_beta ~ year",NA
