"common_name","sciname","Species name from report/literature","source_country_name","source_country_iso3c","processor_iso3c","wholefish","trimmings","Proportion of production which is trimmings derived","Source"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","AUS","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","CHL","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","CHN","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","CRI","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","DNK","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","ECU","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","ESP","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","FRA","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","GBR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","GRC","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","NOR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","TUR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Poland","POL","VNM","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","AUS","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","CHL","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","CHN","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","CRI","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","DNK","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","ECU","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","ESP","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","FRA","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","GBR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","GRC","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","NOR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","TUR","yes","no",0,"Biomar 2023"
"small sandeel","ammodytes tobianus","Sandeel","Spain","ESP","VNM","yes","no",0,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","AUS","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","CHL","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","CHN","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","CRI","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","DNK","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","ECU","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","ESP","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","FRA","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","GBR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","GRC","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","NOR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","TUR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Ecuador","ECU","VNM","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","AUS","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","CHL","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","CHN","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","CRI","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","DNK","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","ECU","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","ESP","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","FRA","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","GBR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","GRC","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","NOR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","TUR","yes","yes",0.11,"Biomar 2023"
"longnose anchovy","anchoa nasus","Anchovy","Peru","PER","VNM","yes","yes",0.11,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","AUS","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","CHL","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","CHN","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","CRI","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","DNK","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","ECU","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","ESP","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","FRA","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","GBR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","GRC","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","NOR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","TUR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","India","IND","VNM","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","AUS","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","CHL","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","CHN","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","CRI","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","DNK","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","ECU","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","ESP","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","FRA","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","GBR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","GRC","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","NOR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","TUR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Indonesia","IDN","VNM","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","AUS","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","CHL","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","CHN","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","CRI","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","DNK","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","ECU","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","ESP","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","FRA","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","GBR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","GRC","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","NOR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Sri Lanka","LKA","TUR","no","yes",1,"Biomar 2023"
