"common_name","sciname","source_country_iso3c","source_country_name","trim_prop","trimmings","whole_fish"
"alaska pollock(=walleye poll.)","gadus chalcogrammus","CAN","Canada",1,"yes","no"
"alaska pollock(=walleye poll.)","gadus chalcogrammus","RUS","Russian Federation",1,"yes","no"
"alaska pollock(=walleye poll.)","gadus chalcogrammus","USA","U.S.",1,"yes","no"
"alaska pollock(=walleye poll.)","gadus chalcogrammus","USA","United States of America",1,"yes","no"
"albacore","thunnus alalunga","ESP","Spain",1,"yes","no"
"anchoveta(=peruvian anchovy)","engraulis ringens","CHL","Chile",0.0342105263157895,"yes","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","ECU","Ecuador",0.223482965904697,"yes","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","NOR","Norway",0,"no","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","PER","Peru",0.10221333399966,"yes","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","USA","U.S.",0,"no","yes"
"anchovies, etc. nei","engraulidae","RUS","Russian Federation",0.11,"yes","yes"
"antarctic krill","euphausia superba","CHL","Chile",0,"no","yes"
"antarctic krill","euphausia superba","CHN","China",0,"no","yes"
"antarctic krill","euphausia superba","KOR","Korea, Republic of",0,"no","yes"
"antarctic krill","euphausia superba","NOR","Norway",0,"no","yes"
"antarctic krill","euphausia superba","UKR","Ukraine",0,"no","yes"
"araucanian herring","strangomera bentincki","CHL","Chile",0,"no","yes"
"argentine hake","merluccius hubbsi","ARG","Argentina",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","unknown","unknown",1,"yes","no"
"atlantic chub mackerel","scomber colias","BLZ","Belize",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","CHN","China",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","CIV","Côte d'Ivoire",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","COG","Congo",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","DEU","Germany",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","DNK","Denmark",0.77,"yes","yes"
"atlantic chub mackerel","scomber colias","ESP","Spain",0.77,"yes","yes"
