"common_name","sciname","source_country_iso3c","source_country_name","trim_prop","trimmings","whole_fish"
"","calanus finmarchicus","NOR","Norway",0,"no","yes"
"","pomadasys","VNM","Vietnam",0,"no","yes"
"aesop shrimp","pandalus montagui","ESP","Spain",1,"yes","no"
"alaska pollock(=walleye poll.)","gadus chalcogrammus","VNM","Vietnam",1,"yes","no"
"alata lepidotrigla","lepidotrigla alata","CHN","China",0,"no","yes"
"albacore","thunnus alalunga","CAN","Canada",1,"yes","no"
"albacore","thunnus alalunga","ESP","Spain",1,"yes","no"
"albacore","thunnus alalunga","MUS","Mauritius",1,"yes","no"
"albacore","thunnus alalunga","SLV","ElSalvador",1,"yes","no"
"albacore","thunnus alalunga","THA","Thailand",1,"yes","no"
"albacore","thunnus alalunga","TUN","Tunisia",1,"yes","no"
"albacore","thunnus alalunga","VNM","Vietnam",1,"yes","no"
"anchoveta(=peruvian anchovy)","engraulis ringens","CHL","Chile",0.0380952380952381,"yes","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","FRA","France",0,"no","yes"
"anchoveta(=peruvian anchovy)","engraulis ringens","PER","Peru",0,"no","yes"
"anchovies, etc. nei","engraulidae","IND","India",0,"no","yes"
"anchovies, etc. nei","engraulidae","THA","Thailand",0,"no","yes"
"angler(=monk)","lophius piscatorius","FRA","France",1,"yes","no"
"angler(=monk)","lophius piscatorius","GBR","United Kingdom",1,"yes","no"
"angler(=monk)","lophius piscatorius","NOR","Norway",1,"yes","no"
"anglerfishes nei","lophiidae","IRL","Ireland",1,"yes","no"
"annes' white shrimp","exopalaemon annandalei","CHN","China",0,"no","yes"
"antarctic krill","euphausia superba","CHL","Chile",0,"no","yes"
"antarctic krill","euphausia superba","NOR","Norway",0,"no","yes"
"apple snail","pila polita","VNM","Vietnam",0,"no","yes"
"araucanian herring","strangomera bentincki","CHL","Chile",0.0434782608695652,"yes","yes"
"argentine red shrimp","pleoticus muelleri","ARG","Argentina",1,"yes","no"
"argentine shortfin squid","illex argentinus","KOR","South Korea",1,"yes","no"
"argentine stiletto shrimp","artemesia longinaris","ARG","Argentina",1,"yes","no"
"aristeid shrimps nei","aristeidae","ESP","Spain",1,"yes","no"
"asian shrimp","oratosquillina asiatica","CHN","China",0,"no","yes"
"atlantic bluefin tuna","thunnus thynnus","CAN","Canada",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","ESP","Spain",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","GBR","United Kingdom",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","SYC","Seychelles",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","TUR","Turkey",1,"yes","no"
"atlantic bluefin tuna","thunnus thynnus","TWN","Taiwan",1,"yes","no"
"atlantic chub mackerel","scomber colias","MAR","Morocco",1,"yes","no"
"atlantic cod","gadus morhua","DNK","Denmark",1,"yes","no"
"atlantic cod","gadus morhua","FRA","France",1,"yes","no"
"atlantic cod","gadus morhua","GBR","United Kingdom",1,"yes","no"
"atlantic cod","gadus morhua","LVA","Latvia",1,"yes","no"
"atlantic cod","gadus morhua","NOR","Norway",1,"yes","no"
"atlantic cod","gadus morhua","VNM","Vietnam",1,"yes","no"
"atlantic halibut","hippoglossus hippoglossus","USA","United States of America",1,"yes","no"
"atlantic herring","clupea harengus","CAN","Canada",0.5,"yes","yes"
"atlantic herring","clupea harengus","DNK","Denmark",0.370370370370371,"yes","yes"
"atlantic herring","clupea harengus","ESP","Spain",1,"yes","no"
"atlantic herring","clupea harengus","EST","Estonia",0.5,"yes","yes"
"atlantic herring","clupea harengus","FIN","Finland",0,"no","yes"
