"sciname","common_name","iso3c","capture","trim_prop","trimmings","wholefish"
"acanthogobius hasta","spear-tailed goby","CHN","yes",0,"no","yes"
"acanthopagrus latus","yellowfin seabream","CHN","yes",0,"no","yes"
"acanthopagrus schlegelii","blackhead seabream","CHN","yes",0,"no","yes"
"acentrogobius caninus","canine-spined goby","CHN","yes",0,"no","yes"
"acetes chinensis","chinese hairy shrimp","CHN","yes",0,"no","yes"
"acropoma hanedai","haneda's lightfish","CHN","yes",0,"no","yes"
"acropoma japonicum","japanese lightfish","CHN","yes",0,"no","yes"
"aesopia cornuta","horned sole","CHN","yes",0,"no","yes"
"alepes djedaba","shrimp scad","CHN","yes",0,"no","yes"
"alepes kleinii","kleins ponyfish","CHN","yes",0,"no","yes"
"allothunnus fallai","slender tuna","GBR","yes",1,"yes","no"
"allothunnus fallai","slender tuna","NZL","yes",1,"yes","no"
"alopias","thresher sharks nei","TWN","yes",1,"yes","no"
"alopias vulpinus","thresher","CRI","yes",1,"yes","no"
"alpheus brevicristatus","short-spined mantis shrimp","CHN","yes",0,"no","yes"
"alpheus distinguendus","distinct mantis shrimp","CHN","yes",0,"no","yes"
"alpheus japonicus","japanese mantis shrimp","CHN","yes",0,"no","yes"
"aluterus monoceros","unicorn leatherjacket filefish","IND","yes",0,"no","yes"
"ambassis gymnocephalus","bald glassy","CHN","yes",0,"no","yes"
"amblychaeturichthys hexanema","pinkgray goby","CHN","yes",0,"no","yes"
"amblychaeturichthys hexanema","six-threaded goby","CHN","yes",0,"no","yes"
"amblygaster sirm","spotted sardinella","IDN","yes",0.5,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","yes",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","FRO","yes",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","NOR","yes",0,"no","yes"
"ammodytes marinus","lesser sand-eel","DNK","yes",0,"no","yes"
"ammodytes personatus","pacific sandlance","CHN","yes",0,"no","yes"
"anchisquilla fasciata","striped-tail shrimp","CHN","yes",0,"no","yes"
"anchoa nasus","longnose anchovy","ECU","yes",0,"no","yes"
"antennarius striatus","striated frogfish","CHN","yes",0,"no","yes"
"antennarius striatus","striped frogfish","CHN","yes",0,"no","yes"
"aphanopus carbo","black scabbardfish","FRA","yes",1,"yes","no"
"apistus carinatus","carinated scorpaenopsis","CHN","yes",0,"no","yes"
"aploactis aspera","rough scad","CHN","yes",0,"no","yes"
"apogon quadrifasciatus","four-lined apogon","CHN","yes",0,"no","yes"
"apogonichthys carinatus","spotfin cardinalfish","CHN","yes",0,"no","yes"
"apogonichthys lineatus","indian perch","CHN","yes",0,"no","yes"
"arbacia lixula","black sea urchin","VNM","yes",0,"no","yes"
"argyrosomus argentatus","silver jewfish","CHN","yes",0,"no","yes"
"ariidae","sea catfishes nei","IND","yes",0,"no","yes"
"ariomma indica","indian driftfish","VNM","yes",0,"no","yes"
