"sciname","common_name","source_country_iso3c","importer_iso3c","capture","trash_fish","trim_prop","trimmings","wholefish"
"ammodytes","sandeels(=sandlances) nei"," JEY","AUS","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","CHL","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","CHN","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","CRI","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","DNK","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","ECU","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","ESP","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","FRA","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","GBR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","GRC","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","NOR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","TUR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei"," JEY","VNM","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","AUS","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","CHL","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","CHN","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","CRI","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","DNK","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","ECU","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","ESP","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","FRA","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","GBR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","GRC","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","NOR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","TUR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DEU","VNM","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","AUS","yes","no",0.5,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","AUT","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","CAN","yes","no",0.5,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","CHL","yes","no",0.333333333333333,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","CHN","yes","no",0.333333333333333,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","CRI","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","DNK","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","ECU","yes","no",0.333333333333333,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","EGY","yes","no",1,"yes","no"
"ammodytes","sandeels(=sandlances) nei","DNK","ESP","yes","no",0.5,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","FRA","yes","no",0.5,"yes","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","GBR","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","GRC","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","HND","yes","no",1,"yes","no"
"ammodytes","sandeels(=sandlances) nei","DNK","IND","yes","no",0,"no","yes"
"ammodytes","sandeels(=sandlances) nei","DNK","ITA","yes","no",1,"yes","no"
